"Align_ID","Batch.A.01","Batch.A.02","Batch.A.03","Batch.A.04","Batch.A.05","Batch.A.06","Batch.A.07","Batch.A.08","Batch.A.09","Batch.A.10","Batch.A.11","Batch.A.12","Batch.A.13","Batch.A.14","Batch.A.15","mz","rt","Batch.B.01","Batch.B.02","Batch.B.03","Batch.B.04","Batch.B.05","Batch.B.06","Batch.B.07","Batch.B.08","Batch.B.09","Batch.B.10","Batch.B.11","Batch.B.12","Batch.B.13","Batch.B.14","Batch.B.15","mz","rt","Batch.C.01","Batch.C.02","Batch.C.03","Batch.C.04","Batch.C.05","Batch.C.06","Batch.C.07","Batch.C.08","Batch.C.09","Batch.C.10","Batch.C.11","Batch.C.12","Batch.C.13","Batch.C.14","Batch.C.15","mz","rt"
"Align_22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21457.49554","18150.07071","14850.88624","27544.99162","29780.48751","20816.91934","19508.46675","19613.74251","27168.49937","21298.38382","27927.17934","82520.89846","41188.50636","49587.54289","37848.61806","144.9842429","568.4299799",29765.15336,25535.4536,30137.65616,48098.15723,19263.626,20985.91507,18554.82286,27103.93356,28853.3673,31047.56444,44227.89064,29377.84143,26668.61162,20855.90963,15341.87433,144.9842429,568.4299799
"Align_23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13577.17116","21418.09778","8559.276438","14752.14525","6230.624783","9844.712937","40271.63026","21470.31105","2272.875896","1783.704663","29692.56972","9364.376929","9986.319671","6843.196132","2022.699645","183.0528739","78.39699831",4026.918381,79325.30202,8303.720055,18513.3887,4312.552018,19505.25791,5097.977925,18700.50836,10417.9961,18263.07244,12562.9562,4105.000054,3274.204487,46075.81789,7693.405467,183.0528739,78.39699831
"Align_24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",12406.85745,27753.04812,3387.229828,13894.88452,79191.55568,12751.58085,3637.595284,20794.35324,4301.796657,1204.844496,16405.06884,8720.3075,9428.267604,11763.66564,3201.251933,246.169184,173.6834966
"Align_25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32968.62859","44998.19568","66561.45674","49609.27043","45611.19978","48332.43914","40019.76539","42628.26675","31444.84858","35299.50664","54494.48205","75267.84991","33978.21403","58072.42969","34910.00541","113.9652945","577.5349995",44515.87284,35426.4217,41296.36529,45207.77182,44282.57404,42984.60609,47907.95646,43447.12968,57203.21773,46005.41483,63012.26859,59995.39805,60674.5277,43646.08924,57191.24725,113.9652945,577.5349995
"Align_26","2994.753786","7234.012734","19914.94902","7939.306988","32347.94087","8937.151639","6978.253015","4931.166828","9338.288754","4617.217541","8719.05499","8682.996152","2955.234574","9033.847465","9415.134178","463.159756","292.892009","7342.282343","5372.613792","8403.736285","74856.59718","1961.605613","9225.473297","11491.00234","7885.02748","4652.960123","6774.87545","16628.61073","2893.164137","12398.67164","12889.35656","2894.888731","463.159756","292.892009",9993.975869,7629.881344,7067.185724,11074.95328,13944.53416,15931.30742,2356.935532,2979.655034,3073.0623,4232.432357,6751.153295,8398.215005,9215.659288,4635.737504,3430.143292,463.159756,292.892009
"Align_27","231.5667654","1981.637178","9942.368985","1207.841892","2068.154171","1801.47878","596.2415908","1399.49129","957.6630873","9169.02446","526.6318189","1623.632008","1059.091645","721.0381731","3538.788503","465.190524","215.2369994","323.9986783","538.6946146","11808.80984","3670.837165","1245.61266","5228.204819","8039.98165","590.8351093","496.4577479","60623.19693","68162.27621","292.6551325","55160.6411","3622.27424","1192.383968","465.190524","215.2369994",2815.022747,744.4737342,426.8230856,7095.856072,1975.651492,2795.303023,380.5303789,1994.904418,1987.653234,1244.842114,23299.7857,1533.544125,18698.09772,429.3621953,394.1962495,465.190524,215.2369994
"Align_28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38597.22199","35310.06542","31579.8778","43718.20754","45809.4587","38320.50466","38982.12813","40191.90095","48698.86652","37814.39874","43204.34185","50711.81039","50650.58791","60718.20187","51165.41005","84.04481926","525.1265028",44659.28155,46700.30206,45075.77957,59532.12292,40812.88229,42005.05798,36151.90161,45517.45691,46011.82562,45917.93342,47564.63042,44311.89523,43172.82668,42723.88449,32138.77707,84.04481926,525.1265028
"Align_29","4220.922653","25804.57983","14100.94155","21316.37167","33960.5153","19330.11776","25190.27772","7010.262609","52625.60277","2810.973833","10191.23191","5187.718654","6450.60926","8501.461019","23492.62346","330.2278634","295.466987","10398.58897","15996.3836","53776.7547","29361.25018","15138.07236","40680.69133","30329.71139","11867.86007","16976.37028","4294.145405","15250.82721","55447.13095","10042.51785","28284.14395","2002.718268","330.2278634","295.466987",16177.67903,28183.3689,13353.74963,31061.43012,35487.45575,38460.54771,2999.916064,10102.28773,2660.449422,1715.510172,49570.61264,6841.428528,9121.642989,25437.34496,4861.989327,330.2278634,295.466987
"Align_30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14550.98431","13694.4871","30669.98055","27299.51512","9170.695112","24363.75834","32106.26815","25067.87965","20413.86157","6705.916554","17689.31917","15309.48272","16089.38045","41096.70288","3831.653015","211.0616706","149.5579998",16182.14059,52128.90632,12512.95455,19721.61823,25801.71668,14143.55558,2619.624564,19251.05084,3284.284821,3135.496436,25818.43877,12339.85676,11966.29488,43046.1073,6740.105447,211.0616706,149.5579998
"Align_31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3067.630905","12960.44861","50840.09845","18443.30635","16869.9251","5996.098951","11825.57878","5376.36219","9328.428703","4555.204029","3120.190356","7704.043091","1879.473555","14047.46439","7038.975943","160.1149893","35.54800013",7390.290676,10305.21266,3940.88547,8182.192507,42428.66816,10186.49891,9713.77454,8645.250917,12056.59384,1430.722626,9774.45733,4292.898839,10229.59927,2837.170618,9235.706076,160.1149893,35.54800013
