name,Batch-C-01,Batch-C-02,Batch-C-03,Batch-C-04,Batch-C-05,Batch-C-06,Batch-C-07,Batch-C-08,Batch-C-09,Batch-C-10,Batch-C-11,Batch-C-12,Batch-C-13,Batch-C-14,Batch-C-15,mz,rt
C_202,1312.525026,1669.949701,1505.868939,536.3857419,1318.842076,1323.074205,1580.394866,1446.44568,1058.84557,1464.616501,273.3288253,1135.820599,1072.080856,1312.174399,453.2407463,296.2952517,556.0300179
C_203,4628.552683,13348.65641,2799.985673,8822.750731,6131.471451,1273.212208,585.1548715,2561.419964,1820.965004,414.3058606,3324.021547,1556.318061,1503.063281,1380.692914,1017.67224,297.1718412,298.4129887
C_204,1641.823828,2644.490017,973.9249943,3422.62997,3290.304444,1619.675952,594.786529,1693.075948,443.5836267,918.8996864,1737.794337,426.9621045,1219.801814,2648.6351,318.0607835,298.1024206,105.1450009
C_205,1890.041381,3319.691451,770.4886524,2811.425504,3379.524356,3047.543947,216.3396672,1393.183606,493.5141665,141.7737989,1858.664378,489.7884141,932.188214,1857.516164,813.2205214,298.1981749,297.989996
C_206,1237.020415,2051.382007,2162.934863,881.9691344,1448.813295,1382.572705,1652.02634,1555.93005,486.1249146,1576.951569,627.479544,513.2219212,828.9536194,1344.790936,775.1711147,298.3471747,418.8880129
C_207,318.7810835,507.3643636,511.3833594,29.91901877,356.6521176,329.6963254,421.9389839,378.9746186,144.2318834,425.6541416,147.2426337,146.8760079,209.2025303,342.1836792,189.5607567,299.3495987,416.2820091
C_208,29150.47565,44563.54416,7136.925699,49673.08503,55486.81853,35326.29879,6014.592015,20496.69839,19511.58476,9043.202025,53389.74881,6794.764928,20363.60791,55155.62299,10589.30336,300.2174292,308.9679999
C_209,5519.528936,6141.184655,5281.769089,3364.693273,8326.704393,9130.740916,5632.311213,5707.532465,4639.060663,5612.451464,2562.638684,4147.473513,5047.682218,8858.232105,5755.746162,301.1411674,440.72601
C_210,6483.745143,10586.07213,3871.968851,10411.64993,12027.85466,8601.98705,1481.63828,6016.512525,3939.064139,2522.090823,10444.2586,3516.31475,6420.468126,11034.98527,3511.249157,301.2186152,308.9364999
C_211,1051.034926,1171.128185,1110.066294,659.7674264,1787.559539,1992.188962,1102.113933,1118.548792,858.7602342,1051.407167,550.4738403,759.9913551,997.9484227,1931.991199,1229.664146,302.1414422,440.6179955
C_212,3347.4367,3137.037182,3554.986731,1929.442155,3261.497128,3255.011454,3300.513074,3609.480536,2604.688693,3504.420751,2113.737861,2363.879699,3131.910666,3035.300333,3588.177791,304.3004968,404.5039929
C_213,3407.818005,3737.17354,1667.791387,4392.240829,16242.49552,8956.823965,1575.923652,5207.093462,2203.230416,219.2138703,6239.876836,2855.918394,4954.923114,5596.871999,366.1303245,304.2112679,245.9944967
